structure,total,inUse,free,time
South Ashley (Kline Lot),143.0,140.0,3.0,1678936032.700853
Library Lane,744.0,53.0,691.0,1678954034.7603948
Maynard,791.0,174.0,617.0,1678954034.7603948
Forest Garage,853.0,2.0,851.0,1678954034.7603948
Liberty Square (Tally Hall),540.0,181.0,359.0,1678954034.7603948
Ann Ashley,811.0,287.0,524.0,1678954034.7603948
4th & William,960.0,179.0,781.0,1678954034.7603948
1st & Wash.,243.0,243.0,0.0,1678954034.7603948
4th & Wash.,270.0,1.0,269.0,1678954034.7603948
1st and William,110.0,0.0,110.0,1678954034.7603948
South Ashley (Kline Lot),143.0,15.0,128.0,1678954034.7603948
Library Lane,744.0,53.0,691.0,1678957632.8334785
Maynard,791.0,174.0,617.0,1678957632.8334785
Forest Garage,853.0,2.0,851.0,1678957632.8334785
Liberty Square (Tally Hall),540.0,181.0,359.0,1678957632.8334785
Ann Ashley,811.0,287.0,524.0,1678957632.8334785
4th & William,960.0,179.0,781.0,1678957632.8334785
1st & Wash.,243.0,243.0,0.0,1678957632.8334785
4th & Wash.,270.0,1.0,269.0,1678957632.8334785
1st and William,110.0,0.0,110.0,1678957632.8334785
South Ashley (Kline Lot),143.0,15.0,128.0,1678957632.8334785
Library Lane,744.0,53.0,691.0,1678961237.3475358
Maynard,791.0,174.0,617.0,1678961237.3475358
Forest Garage,853.0,2.0,851.0,1678961237.3475358
Liberty Square (Tally Hall),540.0,181.0,359.0,1678961237.3475358
Ann Ashley,811.0,287.0,524.0,1678961237.3475358
4th & William,960.0,179.0,781.0,1678961237.3475358
1st & Wash.,243.0,243.0,0.0,1678961237.3475358
4th & Wash.,270.0,1.0,269.0,1678961237.3475358
1st and William,110.0,0.0,110.0,1678961237.3475358
South Ashley (Kline Lot),143.0,15.0,128.0,1678961237.3475358
Library Lane,744.0,53.0,691.0,1678964834.786937
Maynard,791.0,174.0,617.0,1678964834.786937
Forest Garage,853.0,2.0,851.0,1678964834.786937
Liberty Square (Tally Hall),540.0,181.0,359.0,1678964834.786937
Ann Ashley,811.0,287.0,524.0,1678964834.786937
4th & William,960.0,179.0,781.0,1678964834.786937
1st & Wash.,243.0,243.0,0.0,1678964834.786937
4th & Wash.,270.0,1.0,269.0,1678964834.786937
1st and William,110.0,0.0,110.0,1678964834.786937
South Ashley (Kline Lot),143.0,15.0,128.0,1678964834.786937
Library Lane,744.0,84.0,660.0,1678968433.914797
Maynard,791.0,245.0,546.0,1678968433.914797
Forest Garage,853.0,108.0,745.0,1678968433.914797
Liberty Square (Tally Hall),540.0,241.0,299.0,1678968433.914797
Ann Ashley,811.0,415.0,396.0,1678968433.914797
4th & William,960.0,220.0,740.0,1678968433.914797
1st & Wash.,243.0,243.0,0.0,1678968433.914797
4th & Wash.,270.0,12.0,258.0,1678968433.914797
1st and William,110.0,0.0,110.0,1678968433.914797
South Ashley (Kline Lot),143.0,7.0,136.0,1678968433.914797
Library Lane,744.0,84.0,660.0,1678972032.502955
Maynard,791.0,245.0,546.0,1678972032.502955
Forest Garage,853.0,108.0,745.0,1678972032.502955
Liberty Square (Tally Hall),540.0,241.0,299.0,1678972032.502955
Ann Ashley,811.0,415.0,396.0,1678972032.502955
4th & William,960.0,220.0,740.0,1678972032.502955
1st & Wash.,243.0,243.0,0.0,1678972032.502955
4th & Wash.,270.0,12.0,258.0,1678972032.502955
1st and William,110.0,0.0,110.0,1678972032.502955
South Ashley (Kline Lot),143.0,7.0,136.0,1678972032.502955
Library Lane,744.0,84.0,660.0,1678975637.1322222
Maynard,791.0,245.0,546.0,1678975637.1322222
Forest Garage,853.0,108.0,745.0,1678975637.1322222
Liberty Square (Tally Hall),540.0,241.0,299.0,1678975637.1322222
Ann Ashley,811.0,415.0,396.0,1678975637.1322222
4th & William,960.0,220.0,740.0,1678975637.1322222
1st & Wash.,243.0,243.0,0.0,1678975637.1322222
4th & Wash.,270.0,12.0,258.0,1678975637.1322222
1st and William,110.0,0.0,110.0,1678975637.1322222
South Ashley (Kline Lot),143.0,7.0,136.0,1678975637.1322222
Library Lane,744.0,180.0,564.0,1678979236.0724354
Maynard,791.0,548.0,243.0,1678979236.0724354
Forest Garage,853.0,359.0,494.0,1678979236.0724354
Liberty Square (Tally Hall),540.0,406.0,134.0,1678979236.0724354
Ann Ashley,811.0,644.0,167.0,1678979236.0724354
4th & William,960.0,331.0,629.0,1678979236.0724354
1st & Wash.,243.0,80.0,163.0,1678979236.0724354
4th & Wash.,270.0,173.0,97.0,1678979236.0724354
1st and William,110.0,0.0,110.0,1678979236.0724354
South Ashley (Kline Lot),143.0,42.0,101.0,1678979236.0724354
Library Lane,744.0,180.0,564.0,1678982837.5862129
Maynard,791.0,548.0,243.0,1678982837.5862129
Forest Garage,853.0,359.0,494.0,1678982837.5862129
Liberty Square (Tally Hall),540.0,406.0,134.0,1678982837.5862129
Ann Ashley,811.0,644.0,167.0,1678982837.5862129
4th & William,960.0,331.0,629.0,1678982837.5862129
1st & Wash.,243.0,80.0,163.0,1678982837.5862129
4th & Wash.,270.0,173.0,97.0,1678982837.5862129
1st and William,110.0,0.0,110.0,1678982837.5862129
South Ashley (Kline Lot),143.0,42.0,101.0,1678982837.5862129
Library Lane,744.0,180.0,564.0,1678986439.0903995
Maynard,791.0,548.0,243.0,1678986439.0903995
Forest Garage,853.0,359.0,494.0,1678986439.0903995
Liberty Square (Tally Hall),540.0,406.0,134.0,1678986439.0903995
Ann Ashley,811.0,644.0,167.0,1678986439.0903995
4th & William,960.0,331.0,629.0,1678986439.0903995
1st & Wash.,243.0,80.0,163.0,1678986439.0903995
4th & Wash.,270.0,173.0,97.0,1678986439.0903995
1st and William,110.0,0.0,110.0,1678986439.0903995
South Ashley (Kline Lot),143.0,42.0,101.0,1678986439.0903995
Library Lane,744.0,204.0,540.0,1678990040.125502
Maynard,791.0,617.0,174.0,1678990040.125502
Forest Garage,853.0,392.0,461.0,1678990040.125502
Liberty Square (Tally Hall),540.0,441.0,99.0,1678990040.125502
Ann Ashley,811.0,641.0,170.0,1678990040.125502
4th & William,960.0,365.0,595.0,1678990040.125502
1st & Wash.,243.0,70.0,173.0,1678990040.125502
4th & Wash.,270.0,209.0,61.0,1678990040.125502
1st and William,110.0,0.0,110.0,1678990040.125502
South Ashley (Kline Lot),143.0,72.0,71.0,1678990040.125502
Library Lane,744.0,204.0,540.0,1678993630.837233
Maynard,791.0,617.0,174.0,1678993630.837233
Forest Garage,853.0,392.0,461.0,1678993630.837233
Liberty Square (Tally Hall),540.0,441.0,99.0,1678993630.837233
Ann Ashley,811.0,641.0,170.0,1678993630.837233
4th & William,960.0,365.0,595.0,1678993630.837233
1st & Wash.,243.0,70.0,173.0,1678993630.837233
4th & Wash.,270.0,209.0,61.0,1678993630.837233
1st and William,110.0,0.0,110.0,1678993630.837233
South Ashley (Kline Lot),143.0,72.0,71.0,1678993630.837233
Library Lane,744.0,204.0,540.0,1678997233.4727752
Maynard,791.0,617.0,174.0,1678997233.4727752
Forest Garage,853.0,392.0,461.0,1678997233.4727752
Liberty Square (Tally Hall),540.0,441.0,99.0,1678997233.4727752
Ann Ashley,811.0,641.0,170.0,1678997233.4727752
4th & William,960.0,365.0,595.0,1678997233.4727752
1st & Wash.,243.0,70.0,173.0,1678997233.4727752
4th & Wash.,270.0,209.0,61.0,1678997233.4727752
1st and William,110.0,0.0,110.0,1678997233.4727752
South Ashley (Kline Lot),143.0,72.0,71.0,1678997233.4727752
Library Lane,744.0,204.0,540.0,1679000832.6928458
Maynard,791.0,617.0,174.0,1679000832.6928458
Forest Garage,853.0,392.0,461.0,1679000832.6928458
Liberty Square (Tally Hall),540.0,441.0,99.0,1679000832.6928458
Ann Ashley,811.0,641.0,170.0,1679000832.6928458
4th & William,960.0,365.0,595.0,1679000832.6928458
1st & Wash.,243.0,70.0,173.0,1679000832.6928458
4th & Wash.,270.0,209.0,61.0,1679000832.6928458
1st and William,110.0,0.0,110.0,1679000832.6928458
South Ashley (Kline Lot),143.0,72.0,71.0,1679000832.6928458
Library Lane,744.0,120.0,624.0,1679004433.2197533
Maynard,791.0,587.0,204.0,1679004433.2197533
Forest Garage,853.0,139.0,714.0,1679004433.2197533
Liberty Square (Tally Hall),540.0,366.0,174.0,1679004433.2197533
Ann Ashley,811.0,352.0,459.0,1679004433.2197533
4th & William,960.0,340.0,620.0,1679004433.2197533
1st & Wash.,243.0,101.0,142.0,1679004433.2197533
4th & Wash.,270.0,127.0,143.0,1679004433.2197533
1st and William,110.0,0.0,110.0,1679004433.2197533
South Ashley (Kline Lot),143.0,107.0,36.0,1679004433.2197533
Library Lane,744.0,120.0,624.0,1679008031.353883
Maynard,791.0,587.0,204.0,1679008031.353883
Forest Garage,853.0,139.0,714.0,1679008031.353883
Liberty Square (Tally Hall),540.0,366.0,174.0,1679008031.353883
Ann Ashley,811.0,352.0,459.0,1679008031.353883
4th & William,960.0,340.0,620.0,1679008031.353883
1st & Wash.,243.0,101.0,142.0,1679008031.353883
4th & Wash.,270.0,127.0,143.0,1679008031.353883
1st and William,110.0,0.0,110.0,1679008031.353883
South Ashley (Kline Lot),143.0,107.0,36.0,1679008031.353883
Library Lane,744.0,120.0,624.0,1679011636.2508702
Maynard,791.0,587.0,204.0,1679011636.2508702
Forest Garage,853.0,139.0,714.0,1679011636.2508702
Liberty Square (Tally Hall),540.0,366.0,174.0,1679011636.2508702
Ann Ashley,811.0,352.0,459.0,1679011636.2508702
4th & William,960.0,340.0,620.0,1679011636.2508702
1st & Wash.,243.0,101.0,142.0,1679011636.2508702
4th & Wash.,270.0,127.0,143.0,1679011636.2508702
1st and William,110.0,0.0,110.0,1679011636.2508702
South Ashley (Kline Lot),143.0,107.0,36.0,1679011636.2508702
Library Lane,744.0,120.0,624.0,1679015231.7953296
Maynard,791.0,587.0,204.0,1679015231.7953296
Forest Garage,853.0,139.0,714.0,1679015231.7953296
Liberty Square (Tally Hall),540.0,366.0,174.0,1679015231.7953296
Ann Ashley,811.0,352.0,459.0,1679015231.7953296
4th & William,960.0,340.0,620.0,1679015231.7953296
1st & Wash.,243.0,101.0,142.0,1679015231.7953296
4th & Wash.,270.0,127.0,143.0,1679015231.7953296
1st and William,110.0,0.0,110.0,1679015231.7953296
South Ashley (Kline Lot),143.0,107.0,36.0,1679015231.7953296
Library Lane,744.0,66.0,678.0,1679018833.9721441
Maynard,791.0,295.0,496.0,1679018833.9721441
Forest Garage,853.0,67.0,786.0,1679018833.9721441
Liberty Square (Tally Hall),540.0,246.0,294.0,1679018833.9721441
Ann Ashley,811.0,303.0,508.0,1679018833.9721441
4th & William,960.0,258.0,702.0,1679018833.9721441
1st & Wash.,243.0,243.0,0.0,1679018833.9721441
4th & Wash.,270.0,44.0,226.0,1679018833.9721441
1st and William,110.0,0.0,110.0,1679018833.9721441
South Ashley (Kline Lot),143.0,76.0,67.0,1679018833.9721441
Library Lane,744.0,66.0,678.0,1679022432.143054
Maynard,791.0,295.0,496.0,1679022432.143054
Forest Garage,853.0,67.0,786.0,1679022432.143054
Liberty Square (Tally Hall),540.0,246.0,294.0,1679022432.143054
Ann Ashley,811.0,303.0,508.0,1679022432.143054
4th & William,960.0,258.0,702.0,1679022432.143054
1st & Wash.,243.0,243.0,0.0,1679022432.143054
4th & Wash.,270.0,44.0,226.0,1679022432.143054
1st and William,110.0,0.0,110.0,1679022432.143054
South Ashley (Kline Lot),143.0,76.0,67.0,1679022432.143054
Library Lane,744.0,66.0,678.0,1679026032.5624168
Maynard,791.0,295.0,496.0,1679026032.5624168
Forest Garage,853.0,67.0,786.0,1679026032.5624168
Liberty Square (Tally Hall),540.0,246.0,294.0,1679026032.5624168
Ann Ashley,811.0,303.0,508.0,1679026032.5624168
4th & William,960.0,258.0,702.0,1679026032.5624168
1st & Wash.,243.0,243.0,0.0,1679026032.5624168
4th & Wash.,270.0,44.0,226.0,1679026032.5624168
1st and William,110.0,0.0,110.0,1679026032.5624168
South Ashley (Kline Lot),143.0,76.0,67.0,1679026032.5624168
Library Lane,744.0,66.0,678.0,1679029633.3993323
Maynard,791.0,295.0,496.0,1679029633.3993323
Forest Garage,853.0,67.0,786.0,1679029633.3993323
Liberty Square (Tally Hall),540.0,246.0,294.0,1679029633.3993323
Ann Ashley,811.0,303.0,508.0,1679029633.3993323
4th & William,960.0,258.0,702.0,1679029633.3993323
1st & Wash.,243.0,243.0,0.0,1679029633.3993323
4th & Wash.,270.0,44.0,226.0,1679029633.3993323
1st and William,110.0,0.0,110.0,1679029633.3993323
South Ashley (Kline Lot),143.0,76.0,67.0,1679029633.3993323
Library Lane,744.0,61.0,683.0,1679033234.7810855
Maynard,791.0,184.0,607.0,1679033234.7810855
Forest Garage,853.0,36.0,817.0,1679033234.7810855
Liberty Square (Tally Hall),540.0,185.0,355.0,1679033234.7810855
Ann Ashley,811.0,295.0,516.0,1679033234.7810855
4th & William,960.0,185.0,775.0,1679033234.7810855
1st & Wash.,243.0,243.0,0.0,1679033234.7810855
4th & Wash.,270.0,2.0,268.0,1679033234.7810855
1st and William,110.0,0.0,110.0,1679033234.7810855
South Ashley (Kline Lot),143.0,10.0,133.0,1679033234.7810855
Library Lane,744.0,61.0,683.0,1679036832.90877
Maynard,791.0,184.0,607.0,1679036832.90877
Forest Garage,853.0,36.0,817.0,1679036832.90877
Liberty Square (Tally Hall),540.0,185.0,355.0,1679036832.90877
Ann Ashley,811.0,295.0,516.0,1679036832.90877
4th & William,960.0,185.0,775.0,1679036832.90877
1st & Wash.,243.0,243.0,0.0,1679036832.90877
4th & Wash.,270.0,2.0,268.0,1679036832.90877
1st and William,110.0,0.0,110.0,1679036832.90877
South Ashley (Kline Lot),143.0,10.0,133.0,1679036832.90877
Library Lane,744.0,61.0,683.0,1679040431.918519
Maynard,791.0,184.0,607.0,1679040431.918519
Forest Garage,853.0,36.0,817.0,1679040431.918519
Liberty Square (Tally Hall),540.0,185.0,355.0,1679040431.918519
Ann Ashley,811.0,295.0,516.0,1679040431.918519
4th & William,960.0,185.0,775.0,1679040431.918519
1st & Wash.,243.0,243.0,0.0,1679040431.918519
4th & Wash.,270.0,2.0,268.0,1679040431.918519
1st and William,110.0,0.0,110.0,1679040431.918519
South Ashley (Kline Lot),143.0,10.0,133.0,1679040431.918519
Library Lane,744.0,61.0,683.0,1679044033.8881285
Maynard,791.0,184.0,607.0,1679044033.8881285
Forest Garage,853.0,36.0,817.0,1679044033.8881285
Liberty Square (Tally Hall),540.0,185.0,355.0,1679044033.8881285
Ann Ashley,811.0,295.0,516.0,1679044033.8881285
4th & William,960.0,185.0,775.0,1679044033.8881285
1st & Wash.,243.0,243.0,0.0,1679044033.8881285
4th & Wash.,270.0,2.0,268.0,1679044033.8881285
1st and William,110.0,0.0,110.0,1679044033.8881285
South Ashley (Kline Lot),143.0,10.0,133.0,1679044033.8881285
Library Lane,744.0,60.0,684.0,1679047637.800428
Maynard,791.0,185.0,606.0,1679047637.800428
Forest Garage,853.0,20.0,833.0,1679047637.800428
Liberty Square (Tally Hall),540.0,185.0,355.0,1679047637.800428
Ann Ashley,811.0,297.0,514.0,1679047637.800428
4th & William,960.0,175.0,785.0,1679047637.800428
1st & Wash.,243.0,243.0,0.0,1679047637.800428
4th & Wash.,270.0,0.0,270.0,1679047637.800428
1st and William,110.0,0.0,110.0,1679047637.800428
South Ashley (Kline Lot),143.0,8.0,135.0,1679047637.800428
Library Lane,744.0,60.0,684.0,1679051233.7271712
Maynard,791.0,185.0,606.0,1679051233.7271712
Forest Garage,853.0,20.0,833.0,1679051233.7271712
Liberty Square (Tally Hall),540.0,185.0,355.0,1679051233.7271712
Ann Ashley,811.0,297.0,514.0,1679051233.7271712
4th & William,960.0,175.0,785.0,1679051233.7271712
1st & Wash.,243.0,243.0,0.0,1679051233.7271712
4th & Wash.,270.0,0.0,270.0,1679051233.7271712
1st and William,110.0,0.0,110.0,1679051233.7271712
South Ashley (Kline Lot),143.0,8.0,135.0,1679051233.7271712
Library Lane,744.0,60.0,684.0,1679054832.395531
Maynard,791.0,185.0,606.0,1679054832.395531
Forest Garage,853.0,20.0,833.0,1679054832.395531
Liberty Square (Tally Hall),540.0,185.0,355.0,1679054832.395531
Ann Ashley,811.0,297.0,514.0,1679054832.395531
4th & William,960.0,175.0,785.0,1679054832.395531
1st & Wash.,243.0,243.0,0.0,1679054832.395531
4th & Wash.,270.0,0.0,270.0,1679054832.395531
1st and William,110.0,0.0,110.0,1679054832.395531
South Ashley (Kline Lot),143.0,8.0,135.0,1679054832.395531
Library Lane,744.0,60.0,684.0,1679058435.1018243
Maynard,791.0,185.0,606.0,1679058435.1018243
Forest Garage,853.0,20.0,833.0,1679058435.1018243
Liberty Square (Tally Hall),540.0,185.0,355.0,1679058435.1018243
Ann Ashley,811.0,297.0,514.0,1679058435.1018243
4th & William,960.0,175.0,785.0,1679058435.1018243
1st & Wash.,243.0,243.0,0.0,1679058435.1018243
4th & Wash.,270.0,0.0,270.0,1679058435.1018243
1st and William,110.0,0.0,110.0,1679058435.1018243
South Ashley (Kline Lot),143.0,8.0,135.0,1679058435.1018243
Library Lane,744.0,156.0,588.0,1679062038.9992642
Maynard,791.0,633.0,158.0,1679062038.9992642
Forest Garage,853.0,300.0,553.0,1679062038.9992642
Liberty Square (Tally Hall),540.0,331.0,209.0,1679062038.9992642
Ann Ashley,811.0,564.0,247.0,1679062038.9992642
4th & William,960.0,284.0,676.0,1679062038.9992642
1st & Wash.,243.0,243.0,0.0,1679062038.9992642
4th & Wash.,270.0,97.0,173.0,1679062038.9992642
1st and William,110.0,0.0,110.0,1679062038.9992642
South Ashley (Kline Lot),143.0,71.0,72.0,1679062038.9992642
Library Lane,744.0,156.0,588.0,1679065637.1259038
Maynard,791.0,633.0,158.0,1679065637.1259038
Forest Garage,853.0,300.0,553.0,1679065637.1259038
Liberty Square (Tally Hall),540.0,331.0,209.0,1679065637.1259038
Ann Ashley,811.0,564.0,247.0,1679065637.1259038
4th & William,960.0,284.0,676.0,1679065637.1259038
1st & Wash.,243.0,243.0,0.0,1679065637.1259038
4th & Wash.,270.0,97.0,173.0,1679065637.1259038
1st and William,110.0,0.0,110.0,1679065637.1259038
South Ashley (Kline Lot),143.0,71.0,72.0,1679065637.1259038
Library Lane,744.0,156.0,588.0,1679069238.408728
Maynard,791.0,633.0,158.0,1679069238.408728
Forest Garage,853.0,300.0,553.0,1679069238.408728
Liberty Square (Tally Hall),540.0,331.0,209.0,1679069238.408728
Ann Ashley,811.0,564.0,247.0,1679069238.408728
4th & William,960.0,284.0,676.0,1679069238.408728
1st & Wash.,243.0,243.0,0.0,1679069238.408728
4th & Wash.,270.0,97.0,173.0,1679069238.408728
1st and William,110.0,0.0,110.0,1679069238.408728
South Ashley (Kline Lot),143.0,71.0,72.0,1679069238.408728
Library Lane,744.0,156.0,588.0,1679072837.789404
Maynard,791.0,633.0,158.0,1679072837.789404
Forest Garage,853.0,300.0,553.0,1679072837.789404
Liberty Square (Tally Hall),540.0,331.0,209.0,1679072837.789404
Ann Ashley,811.0,564.0,247.0,1679072837.789404
4th & William,960.0,284.0,676.0,1679072837.789404
1st & Wash.,243.0,243.0,0.0,1679072837.789404
4th & Wash.,270.0,97.0,173.0,1679072837.789404
1st and William,110.0,0.0,110.0,1679072837.789404
South Ashley (Kline Lot),143.0,71.0,72.0,1679072837.789404
Library Lane,744.0,185.0,559.0,1679076437.8747432
Maynard,791.0,749.0,42.0,1679076437.8747432
Forest Garage,853.0,370.0,483.0,1679076437.8747432
Liberty Square (Tally Hall),540.0,396.0,144.0,1679076437.8747432
Ann Ashley,811.0,608.0,203.0,1679076437.8747432
4th & William,960.0,376.0,584.0,1679076437.8747432
1st & Wash.,243.0,72.0,171.0,1679076437.8747432
4th & Wash.,270.0,175.0,95.0,1679076437.8747432
1st and William,110.0,0.0,110.0,1679076437.8747432
South Ashley (Kline Lot),143.0,134.0,9.0,1679076437.8747432
Library Lane,744.0,185.0,559.0,1679080032.9465945
Maynard,791.0,749.0,42.0,1679080032.9465945
Forest Garage,853.0,370.0,483.0,1679080032.9465945
Liberty Square (Tally Hall),540.0,396.0,144.0,1679080032.9465945
Ann Ashley,811.0,608.0,203.0,1679080032.9465945
4th & William,960.0,376.0,584.0,1679080032.9465945
1st & Wash.,243.0,72.0,171.0,1679080032.9465945
4th & Wash.,270.0,175.0,95.0,1679080032.9465945
1st and William,110.0,0.0,110.0,1679080032.9465945
South Ashley (Kline Lot),143.0,134.0,9.0,1679080032.9465945
Library Lane,744.0,185.0,559.0,1679083632.4753482
Maynard,791.0,749.0,42.0,1679083632.4753482
Forest Garage,853.0,370.0,483.0,1679083632.4753482
Liberty Square (Tally Hall),540.0,396.0,144.0,1679083632.4753482
Ann Ashley,811.0,608.0,203.0,1679083632.4753482
4th & William,960.0,376.0,584.0,1679083632.4753482
1st & Wash.,243.0,72.0,171.0,1679083632.4753482
4th & Wash.,270.0,175.0,95.0,1679083632.4753482
1st and William,110.0,0.0,110.0,1679083632.4753482
South Ashley (Kline Lot),143.0,134.0,9.0,1679083632.4753482
Library Lane,744.0,185.0,559.0,1679087233.0624824
Maynard,791.0,749.0,42.0,1679087233.0624824
Forest Garage,853.0,370.0,483.0,1679087233.0624824
Liberty Square (Tally Hall),540.0,396.0,144.0,1679087233.0624824
Ann Ashley,811.0,608.0,203.0,1679087233.0624824
4th & William,960.0,376.0,584.0,1679087233.0624824
1st & Wash.,243.0,72.0,171.0,1679087233.0624824
4th & Wash.,270.0,175.0,95.0,1679087233.0624824
1st and William,110.0,0.0,110.0,1679087233.0624824
South Ashley (Kline Lot),143.0,134.0,9.0,1679087233.0624824
Library Lane,744.0,118.0,626.0,1679090832.3818243
Maynard,791.0,462.0,329.0,1679090832.3818243
Forest Garage,853.0,219.0,634.0,1679090832.3818243
Liberty Square (Tally Hall),540.0,319.0,221.0,1679090832.3818243
Ann Ashley,811.0,367.0,444.0,1679090832.3818243
4th & William,960.0,430.0,530.0,1679090832.3818243
1st & Wash.,243.0,136.0,107.0,1679090832.3818243
4th & Wash.,270.0,151.0,119.0,1679090832.3818243
1st and William,110.0,0.0,110.0,1679090832.3818243
South Ashley (Kline Lot),143.0,144.0,-1.0,1679090832.3818243
